Text,POS,Dep,IsSent,parNum,NNRExtracts,Polarity,Sent
Will he give the same degree of urgency to finding jobs for people who have been unemployed in that part of Scotland as he is giving to those at Singers?,WillMD hePRP giveVB theDT sameJJ degreeNN ofIN urgencyNN toTO findingVBG jobsNNS forIN peopleNNS whoWP haveVBP beenVBN unemployedVBN inIN thatDT partNN ofIN ScotlandNNP asIN hePRP isVBZ givingVBG toTO thoseDT atIN SingersNNS ,"root(ROOT-0, give-3) aux(give-3, Will-1) nsubj(give-3, he-2) det(degree-6, the-4) amod(degree-6, same-5) dobj(give-3, degree-6) case(urgency-8, of-7) nmod:of(degree-6, urgency-8) mark(finding-10, to-9) advcl(give-3, finding-10) dobj(finding-10, jobs-11) case(people-13, for-12) nmod:for(jobs-11, people-13) nsubj(unemployed-17, who-14) aux(unemployed-17, have-15) cop(unemployed-17, been-16) acl:relcl(people-13, unemployed-17) case(part-20, in-18) det(part-20, that-19) nmod:in(unemployed-17, part-20) case(Scotland-22, of-21) nmod:of(part-20, Scotland-22) mark(giving-26, as-23) nsubj(giving-26, he-24) aux(giving-26, is-25) advcl(unemployed-17, giving-26) case(those-28, to-27) nmod:to(giving-26, those-28) case(Singers-30, at-29) nmod:at(those-28, Singers-30) punct(give-3, ?-31)",0,9,"[those, he, giving, ROOT, he, degree, unemployed, give, finding]",0,2
The question of degree of urgency is difficult to measure  but I can assure the hon. Member that  within the limits of the powers available to me  I shall give every possible assistance in his area as well as other areas.,TheDT questionNN ofIN degreeNN ofIN urgencyNN isVBZ difficultJJ toTO measureVB butCC IPRP canMD assureVB theDT honNN MemberNNP thatIN withinIN theDT limitsNNS ofIN theDT powersNNS availableJJ toTO mePRP IPRP shallMD giveVB everyDT possibleJJ assistanceNN inIN hisPRP$ areaNN asRB wellRB asIN otherJJ areasNNS ,"root(ROOT-0, difficult-8) det(question-2, The-1) nsubj(difficult-8, question-2) case(degree-4, of-3) nmod:of(question-2, degree-4) case(urgency-6, of-5) nmod:of(degree-4, urgency-6) cop(difficult-8, is-7) mark(measure-10, to-9) xcomp(difficult-8, measure-10) punct(difficult-8, ,-11) cc(difficult-8, but-12) nsubj(assure-15, I-13) aux(assure-15, can-14) conj:but(difficult-8, assure-15) det(Member-18, the-16) compound(Member-18, hon.-17) dobj(assure-15, Member-18) mark(give-33, that-19) punct(give-33, ,-20) case(limits-23, within-21) det(limits-23, the-22) nmod:within(give-33, limits-23) case(powers-26, of-24) det(powers-26, the-25) nmod:of(limits-23, powers-26) amod(powers-26, available-27) case(me-29, to-28) nmod:to(available-27, me-29) punct(give-33, ,-30) nsubj(give-33, I-31) aux(give-33, shall-32) dep(Member-18, give-33) det(assistance-36, every-34) amod(assistance-36, possible-35) dobj(give-33, assistance-36) case(area-39, in-37) nmod:poss(area-39, his-38) nmod:in(assistance-36, area-39) cc(give-33, as-40) mwe(as-40, well-41) mwe(as-40, as-42) amod(areas-44, other-43) dep(Member-18, areas-44) conj:and(give-33, areas-44) punct(difficult-8, .-45)",0,10,"[his, area, limits, I, assure, give, areas, I, other, assistance, as, Member]",0,1
I hope that we shall manage to persuade new firms to come in and take up the jobs that have been lost.,IPRP hopeVBP thatIN wePRP shallMD manageVB toTO persuadeVB newJJ firmsNNS toTO comeVB inIN andCC takeVB upRP theDT jobsNNS thatWDT haveVBP beenVBN lostVBN ,"root(ROOT-0, hope-2) nsubj(hope-2, I-1) mark(manage-6, that-3) nsubj(manage-6, we-4) aux(manage-6, shall-5) ccomp(hope-2, manage-6) mark(persuade-8, to-7) xcomp(manage-6, persuade-8) amod(firms-10, new-9) dobj(persuade-8, firms-10) mark(come-12, to-11) xcomp(persuade-8, come-12) compound:prt(come-12, in-13) cc(come-12, and-14) xcomp(persuade-8, take-15) conj:and(come-12, take-15) compound:prt(take-15, up-16) det(jobs-18, the-17) dobj(take-15, jobs-18) nsubjpass(lost-22, that-19) aux(lost-22, have-20) auxpass(lost-22, been-21) acl:relcl(jobs-18, lost-22) punct(hope-2, .-23)",0,10,[ ],0,2
We are getting expenditure under control and  once we have done so  there may be a chance of some new jobs to help the unemployed.,WePRP areVBP gettingVBG expenditureNN underIN controlNN andCC onceRB wePRP haveVBP doneVBN soRB thereEX mayMD beVB aDT chanceNN ofIN someDT newJJ jobsNNS toTO helpVB theDT unemployedJJ ,"root(ROOT-0, getting-3) nsubj(getting-3, We-1) aux(getting-3, are-2) dobj(getting-3, expenditure-4) case(control-6, under-5) nmod:under(getting-3, control-6) cc(getting-3, and-7) punct(chance-19, ,-8) mark(done-12, once-9) nsubj(done-12, we-10) aux(done-12, have-11) advcl(chance-19, done-12) advmod(done-12, so-13) punct(chance-19, ,-14) expl(chance-19, there-15) aux(chance-19, may-16) cop(chance-19, be-17) det(chance-19, a-18) conj:and(getting-3, chance-19) case(jobs-23, of-20) det(jobs-23, some-21) amod(jobs-23, new-22) nmod:of(chance-19, jobs-23) mark(help-25, to-24) xcomp(chance-19, help-25) det(unemployed-27, the-26) dobj(help-25, unemployed-27) punct(getting-3, .-28)",0,12,[ ],0,2
"When the Minister ""soon"" meets the chairman of British Railways  will he emphasise to him that he means to start improving British Railways on the principle of the retention of all present routes and services  including the Woodhead cross Pennine route?",WhenWRB theDT MinisterNNP ```` soonRB '''' meetsVBZ theDT chairmanNN ofIN BritishNNP RailwaysNNP willMD hePRP emphasiseVB toTO himPRP thatIN hePRP meansVBZ toTO startVB improvingVBG BritishJJ RailwaysNNS onIN theDT principleNN ofIN theDT retentionNN ofIN allDT presentJJ routesNNS andCC servicesNNS includingVBG theDT WoodheadNNP crossNN PennineNNP routeNN ,"root(ROOT-0, emphasise-16) advmod(meets-7, When-1) det(Minister-3, the-2) nsubj(meets-7, Minister-3) punct(meets-7, ``-4) advmod(meets-7, soon-5) punct(meets-7, ''-6) advcl(emphasise-16, meets-7) det(chairman-9, the-8) dobj(meets-7, chairman-9) case(Railways-12, of-10) amod(Railways-12, British-11) nmod:of(chairman-9, Railways-12) punct(emphasise-16, ,-13) aux(emphasise-16, will-14) nsubj(emphasise-16, he-15) case(him-18, to-17) nmod:to(emphasise-16, him-18) mark(means-21, that-19) nsubj(means-21, he-20) ccomp(emphasise-16, means-21) mark(start-23, to-22) xcomp(means-21, start-23) xcomp(start-23, improving-24) amod(Railways-26, British-25) dobj(improving-24, Railways-26) case(principle-29, on-27) det(principle-29, the-28) nmod:on(improving-24, principle-29) case(retention-32, of-30) det(retention-32, the-31) nmod:of(principle-29, retention-32) case(routes-36, of-33) det(routes-36, all-34) amod(routes-36, present-35) nmod:of(retention-32, routes-36) cc(routes-36, and-37) nmod:of(retention-32, services-38) conj:and(routes-36, services-38) punct(improving-24, ,-39) case(route-45, including-40) det(route-45, the-41) compound(route-45, Woodhead-42) compound(route-45, cross-43) compound(route-45, Pennine-44) nmod:including(improving-24, route-45) punct(emphasise-16, ?-46)",0,1,"[means, he, him, emphasise, When, he, soon, meets, Minister, start, ROOT, chairman]",0,2
Will the Minister also encourage British Railways by authorising more investment  especially in commuter services in the Leeds Bradford area  which has been starved in comparison with London and the South East?,WillMD theDT MinisterNNP alsoRB encourageVBP BritishJJ RailwaysNNS byIN authorisingVBG moreJJR investmentNN especiallyRB inIN commuterNN servicesNNS inIN theDT LeedsNNP BradfordNNP areaNN whichWDT hasVBZ beenVBN starvedVBN inIN comparisonNN withIN LondonNNP andCC theDT SouthNNP EastNNP ,"root(ROOT-0, encourage-5) aux(encourage-5, Will-1) det(Minister-3, the-2) nsubj(encourage-5, Minister-3) advmod(encourage-5, also-4) amod(Railways-7, British-6) dobj(encourage-5, Railways-7) mark(authorising-9, by-8) advcl(encourage-5, authorising-9) amod(investment-11, more-10) dobj(authorising-9, investment-11) punct(authorising-9, ,-12) advmod(services-16, especially-13) case(services-16, in-14) compound(services-16, commuter-15) nmod:in(authorising-9, services-16) case(area-21, in-17) det(area-21, the-18) compound(area-21, Leeds-19) compound(area-21, Bradford-20) nmod:in(services-16, area-21) punct(area-21, ,-22) nsubjpass(starved-26, which-23) aux(starved-26, has-24) auxpass(starved-26, been-25) acl:relcl(area-21, starved-26) case(comparison-28, in-27) nmod:in(starved-26, comparison-28) case(London-30, with-29) nmod:with(comparison-28, London-30) cc(London-30, and-31) det(East-34, the-32) compound(East-34, South-33) nmod:with(comparison-28, East-34) conj:and(London-30, East-34) punct(encourage-5, ?-35)",0,1,[ ],0,2
Does he not agree that the Government would be derelict in their responsibility if they failed to encourage and regenerate British Railways bearing in mind the world's finite fuel resources?,DoesVBZ henotVB agreeVB thatIN theDT GovernmentNNP wouldMD beVB derelictVBN inIN theirPRP$ responsibilityNN ifIN theyPRP failedVBD toTO encourageVB andCC regenerateVB BritishNNP RailwaysNNP 405CD bearingNN inIN mindNN theDT worldNN 'sPOS finiteJJ fuelNN resourcesNNS ,"root(ROOT-0, agree-3) aux(agree-3, Does-1) nsubj(agree-3, henot-2) mark(derelict-9, that-4) det(Government-6, the-5) nsubjpass(derelict-9, Government-6) aux(derelict-9, would-7) auxpass(derelict-9, be-8) ccomp(agree-3, derelict-9) case(responsibility-12, in-10) nmod:poss(responsibility-12, their-11) nmod:in(derelict-9, responsibility-12) mark(failed-15, if-13) nsubj(failed-15, they-14) advcl(derelict-9, failed-15) mark(encourage-17, to-16) xcomp(failed-15, encourage-17) cc(encourage-17, and-18) xcomp(failed-15, regenerate-19) conj:and(encourage-17, regenerate-19) amod(Railways-21, British-20) dobj(encourage-17, Railways-21) punct(Railways-21, ,-22) nummod(bearing-24, 405-23) appos(Railways-21, bearing-24) case(mind-26, in-25) nmod:in(bearing-24, mind-26) det(world-28, the-27) nmod:poss(resources-32, world-28) case(world-28, 's-29) amod(resources-32, finite-30) compound(resources-32, fuel-31) dobj(mind-26, resources-32) punct(agree-3, ?-33)",1,1,"[agree, derelict, responsibility, Government, failed]",2,2
The Government certainly appreciate the importance of British Rail and support it.,TheDT GovernmentNNP certainlyRB appreciateVBP theDT importanceNN ofIN BritishJJ RailNNP andCC supportVB itPRP ,"root(ROOT-0, appreciate-4) det(Government-2, The-1) nsubj(appreciate-4, Government-2) nsubj(support-11, Government-2) advmod(appreciate-4, certainly-3) det(importance-6, the-5) dobj(appreciate-4, importance-6) case(Rail-9, of-7) amod(Rail-9, British-8) nmod:of(importance-6, Rail-9) cc(appreciate-4, and-10) conj:and(appreciate-4, support-11) dobj(support-11, it-12) punct(appreciate-4, .-13)",0,2,"[Government, and, it, appreciate, support, ROOT, importance, certainly]",0,2
The Woodhead cross Pennine route is a freight service  the responsibility for which lies with the chairman of British Rail and does not come to me.,TheDT WoodheadNNP crossNN PennineNNP routeNN isVBZ aDT freightNN serviceNN theDT responsibilityNN forIN whichWDT liesVBZ withIN theDT chairmanNN ofIN BritishNNP RailNNP andCC doesVBZ notRB comeVBN toTO mePRP ,"root(ROOT-0, service-9) det(route-5, The-1) compound(route-5, Woodhead-2) compound(route-5, cross-3) compound(route-5, Pennine-4) nsubj(service-9, route-5) cop(service-9, is-6) det(service-9, a-7) compound(service-9, freight-8) punct(service-9, ,-10) det(responsibility-12, the-11) nsubj(lies-15, responsibility-12) nsubj(come-25, responsibility-12) case(which-14, for-13) nmod:for(responsibility-12, which-14) acl:relcl(service-9, lies-15) case(chairman-18, with-16) det(chairman-18, the-17) nmod:with(lies-15, chairman-18) case(Rail-21, of-19) amod(Rail-21, British-20) nmod:of(chairman-18, Rail-21) cc(lies-15, and-22) aux(come-25, does-23) neg(come-25, not-24) acl:relcl(service-9, come-25) conj:and(lies-15, come-25) case(me-27, to-26) nmod:to(come-25, me-27) punct(service-9, .-28)",0,2,[ ],0,2
With passenger services the responsibility and decision come to me  and I have informed the chairman that we would be totally opposed to the massive cuts that are mentioned in the corporate review.,WithIN passengerNN servicesNNS theDT responsibilityNN andCC decisionNN comeNN toTO mePRP andCC IPRP haveVBP informedVBN theDT chairmanNN thatIN wePRP wouldMD beVB totallyRB opposedVBN toTO theDT massiveJJ cutsNNS thatWDT areVBP mentionedVBN inIN theDT corporateJJ reviewNN ,"root(ROOT-0, services-3) case(services-3, With-1) compound(services-3, passenger-2) det(responsibility-5, the-4) nsubj(come-8, responsibility-5) cc(responsibility-5, and-6) conj:and(responsibility-5, decision-7) nsubj(come-8, decision-7) acl:relcl(services-3, come-8) case(me-10, to-9) nmod:to(come-8, me-10) punct(services-3, ,-11) cc(services-3, and-12) nsubj(informed-15, I-13) aux(informed-15, have-14) conj:and(services-3, informed-15) det(chairman-17, the-16) dobj(informed-15, chairman-17) mark(opposed-23, that-18) nsubjpass(opposed-23, we-19) aux(opposed-23, would-20) auxpass(opposed-23, be-21) advmod(opposed-23, totally-22) ccomp(informed-15, opposed-23) case(cuts-27, to-24) det(cuts-27, the-25) amod(cuts-27, massive-26) nmod:to(opposed-23, cuts-27) nsubjpass(mentioned-30, that-28) auxpass(mentioned-30, are-29) acl:relcl(cuts-27, mentioned-30) case(review-34, in-31) det(review-34, the-32) amod(review-34, corporate-33) nmod:in(mentioned-30, review-34) punct(services-3, .-35)",0,2,[ ],0,2
Is it not sound policy that British Rail should exploit to the full the commercial potential of its existing assets?,IsVBZ itPRP notRB soundJJ policyNN thatIN BritishJJ RailNNP shouldMD exploitVB toTO theDT fullJJ theDT commercialJJ potentialNN ofIN itsPRP$ existingVBG assetsNNS ,"root(ROOT-0, Is-1) nsubj(sound-4, it-2) neg(sound-4, not-3) ccomp(Is-1, sound-4) dobj(sound-4, policy-5) mark(exploit-10, that-6) amod(Rail-8, British-7) nsubj(exploit-10, Rail-8) aux(exploit-10, should-9) ccomp(policy-5, exploit-10) case(potential-16, to-11) det(potential-16, the-12) amod(potential-16, full-13) det(potential-16, the-14) amod(potential-16, commercial-15) nmod:to(exploit-10, potential-16) case(assets-20, of-17) nmod:poss(assets-20, its-18) amod(assets-20, existing-19) nmod:of(potential-16, assets-20) punct(Is-1, ?-21)",0,3,[ ],0,2
When the Minister meets the chairman  will he encourage him to develop the services modestly  but on a better basis at Alnmouth station in Northumberland  where there is considerable potential for improvement?,WhenWRB theDT MinisterNNP meetsVBZ theDT chairmanNN willMD hePRP encourageVB himPRP toTO developVB theDT servicesNNS modestlyRB butCC onIN aDT betterJJR basisNN atIN AlnmouthNNP stationNN inIN NorthumberlandNNP whereWRB thereEX isVBZ considerableJJ potentialJJ forIN improvementNN ,"root(ROOT-0, encourage-10) advmod(meets-4, When-1) det(Minister-3, the-2) nsubj(meets-4, Minister-3) advcl(encourage-10, meets-4) det(chairman-6, the-5) dobj(meets-4, chairman-6) punct(encourage-10, ,-7) aux(encourage-10, will-8) nsubj(encourage-10, he-9) dobj(encourage-10, him-11) mark(develop-13, to-12) xcomp(encourage-10, develop-13) det(services-15, the-14) dobj(develop-13, services-15) advmod(develop-13, modestly-16) punct(encourage-10, ,-17) cc(encourage-10, but-18) case(basis-22, on-19) det(basis-22, a-20) amod(basis-22, better-21) conj:but(encourage-10, basis-22) case(station-25, at-23) compound(station-25, Alnmouth-24) nmod:at(basis-22, station-25) case(Northumberland-27, in-26) nmod:in(station-25, Northumberland-27) punct(Northumberland-27, ,-28) advmod(is-31, where-29) expl(is-31, there-30) acl:relcl(Northumberland-27, is-31) amod(potential-33, considerable-32) nsubj(is-31, potential-33) case(improvement-35, for-34) nmod:for(potential-33, improvement-35) punct(encourage-10, ?-36)",0,3,"[encourage, but, When, him, develop, meets, chairman, he, Minister, ROOT]",0,1
I shall certainly look into the specific matter raised by the hon. Gentleman.,IPRP shallMD certainlyRB lookVB intoIN theDT specificJJ matterNN raisedVBN byIN theDT honNN GentlemanNNP ,"root(ROOT-0, look-4) nsubj(look-4, I-1) aux(look-4, shall-2) advmod(look-4, certainly-3) case(matter-8, into-5) det(matter-8, the-6) amod(matter-8, specific-7) nmod:into(look-4, matter-8) acl(matter-8, raised-9) case(Gentleman-13, by-10) det(Gentleman-13, the-11) compound(Gentleman-13, hon.-12) nmod:by(raised-9, Gentleman-13) punct(look-4, .-14)",0,4,"[matter, raised, Gentleman]",0,2
